SERVICE_TYPE,USAGE_DATE,CREDITS_USED_COMPUTE,CREDITS_USED_CLOUD_SERVICES,CREDITS_USED,CREDITS_ADJUSTMENT_CLOUD_SERVICES,CREDITS_BILLED
TELEMETRY_DATA_INGEST,2026-07-20,0.000034087,0.000000000,0.000034087,0.0000000000,0.0000340870
TRUST_CENTER,2026-07-20,0.756659420,0.000000000,0.756659420,0.0000000000,0.7566594200
WAREHOUSE_METERING,2026-07-20,73.049444421,2.496468611,75.545913032,-2.4964686110,73.0494444210
PIPE,2026-07-21,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-07-21,0.000003893,0.000000000,0.000003893,0.0000000000,0.0000038930
TRUST_CENTER,2026-07-21,0.697708320,0.000000000,0.697708320,0.0000000000,0.6977083200
WAREHOUSE_METERING,2026-07-21,72.293055521,2.573413744,74.866469265,-2.5734137440,72.2930555210
PIPE,2026-07-22,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-07-22,0.000005383,0.000000000,0.000005383,0.0000000000,0.0000053830
TRUST_CENTER,2026-07-22,0.686834466,0.000000000,0.686834466,0.0000000000,0.6868344660
WAREHOUSE_METERING,2026-07-22,73.949999966,2.539855993,76.489855959,-2.5398559930,73.9499999660
AI_INFERENCE,2026-07-23,0.000053570,0.000000000,0.000053570,0.0000000000,0.0000535700
PIPE,2026-07-23,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWPARK_CONTAINER_SERVICES,2026-07-23,0.009166667,0.000000000,0.009166667,0.0000000000,0.0091666670
TELEMETRY_DATA_INGEST,2026-07-23,0.000003845,0.000000000,0.000003845,0.0000000000,0.0000038450
TRUST_CENTER,2026-07-23,0.682803723,0.000000000,0.682803723,0.0000000000,0.6828037230
WAREHOUSE_METERING,2026-07-23,69.190833288,2.483176658,71.674009946,-2.4831766580,69.1908332880
AI_INFERENCE,2026-07-24,0.000067650,0.000000000,0.000067650,0.0000000000,0.0000676500
PIPE,2026-07-24,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-07-24,0.000001195,0.000000000,0.000001195,0.0000000000,0.0000011950
TRUST_CENTER,2026-07-24,0.701273100,0.000000000,0.701273100,0.0000000000,0.7012731000
